facility,unit,geo,year,tot_n_hospital_bed
HBEDI_PSY,HAB_P,AL,2001,
HBEDI_PSY,HAB_P,AL0,2001,
HBEDI_PSY,HAB_P,AT,2001,1755.96 
HBEDI_PSY,HAB_P,AT11,2001,
HBEDI_PSY,HAB_P,AT12,2001,2206.07 
HBEDI_PSY,HAB_P,AT13,2001,1252.03 
HBEDI_PSY,HAB_P,AT21,2001,1738.36 
HBEDI_PSY,HAB_P,AT22,2001,1683.63 
HBEDI_PSY,HAB_P,AT31,2001,2284.83 
HBEDI_PSY,HAB_P,AT32,2001,1622.49 
HBEDI_PSY,HAB_P,AT33,2001,1791.48 
HBEDI_PSY,HAB_P,AT34,2001,1129.75 
HBEDI_PSY,HAB_P,BE,2001,396.49 
HBEDI_PSY,HAB_P,BE10,2001,467.24 
HBEDI_PSY,HAB_P,BE21,2001,377.96 
HBEDI_PSY,HAB_P,BE22,2001,359.84 
HBEDI_PSY,HAB_P,BE23,2001,308.09 
HBEDI_PSY,HAB_P,BE24,2001,435.79 
HBEDI_PSY,HAB_P,BE25,2001,342.67 
HBEDI_PSY,HAB_P,BE31,2001,652.42 
HBEDI_PSY,HAB_P,BE32,2001,458.94 
HBEDI_PSY,HAB_P,BE33,2001,434.75 
HBEDI_PSY,HAB_P,BE34,2001,907.56 
HBEDI_PSY,HAB_P,BE35,2001,355.73 
HBEDI_PSY,HAB_P,BG,2001,1427.40 
HBEDI_PSY,HAB_P,BG31,2001,1107.70 
HBEDI_PSY,HAB_P,BG32,2001,1064.54 
HBEDI_PSY,HAB_P,BG33,2001,1147.86 
HBEDI_PSY,HAB_P,BG34,2001,1225.90 
HBEDI_PSY,HAB_P,BG41,2001,2512.04 
HBEDI_PSY,HAB_P,BG42,2001,1643.22 
HBEDI_PSY,HAB_P,CH,2001,886.88 
HBEDI_PSY,HAB_P,CH01,2001,1277.92 
HBEDI_PSY,HAB_P,CH02,2001,883.54 
HBEDI_PSY,HAB_P,CH03,2001,984.10 
HBEDI_PSY,HAB_P,CH04,2001,573.24 
HBEDI_PSY,HAB_P,CH05,2001,777.43 
HBEDI_PSY,HAB_P,CH06,2001,1419.10 
HBEDI_PSY,HAB_P,CH07,2001,1116.03 
HBEDI_PSY,HAB_P,CY,2001,2637.38 
HBEDI_PSY,HAB_P,CY00,2001,2637.38 
HBEDI_PSY,HAB_P,CZ,2001,873.74 
HBEDI_PSY,HAB_P,CZ01,2001,
