region_code,territorial_unit_stat_code,prov_code_hist,town_prog_id,zip_code,town,geo_partition,region,province,is_province,province_short,population_2011,NUTS1,NUTS2, NUTS3
1,201,1,1,001001,Agliè,Nord-ovest,Piemonte,Torino,0,TO,2.644,ITC,ITC1,ITC11
1,201,1,2,001002,Airasca,Nord-ovest,Piemonte,Torino,0,TO,3.819,ITC,ITC1,ITC11
1,201,1,3,001003,Ala di Stura,Nord-ovest,Piemonte,Torino,0,TO,462,ITC,ITC1,ITC11
1,201,1,4,001004,Albiano d'Ivrea,Nord-ovest,Piemonte,Torino,0,TO,1.791,ITC,ITC1,ITC11
1,201,1,6,001006,Almese,Nord-ovest,Piemonte,Torino,0,TO,6.303,ITC,ITC1,ITC11
1,201,1,7,001007,Alpette,Nord-ovest,Piemonte,Torino,0,TO,277,ITC,ITC1,ITC11
1,201,1,8,001008,Alpignano,Nord-ovest,Piemonte,Torino,0,TO,16.893,ITC,ITC1,ITC11
1,201,1,9,001009,Andezeno,Nord-ovest,Piemonte,Torino,0,TO,1.966,ITC,ITC1,ITC11
1,201,1,10,001010,Andrate,Nord-ovest,Piemonte,Torino,0,TO,512,ITC,ITC1,ITC11
1,201,1,11,001011,Angrogna,Nord-ovest,Piemonte,Torino,0,TO,870,ITC,ITC1,ITC11
1,201,1,12,001012,Arignano,Nord-ovest,Piemonte,Torino,0,TO,1.039,ITC,ITC1,ITC11
1,201,1,13,001013,Avigliana,Nord-ovest,Piemonte,Torino,0,TO,12.129,ITC,ITC1,ITC11
1,201,1,14,001014,Azeglio,Nord-ovest,Piemonte,Torino,0,TO,1.347,ITC,ITC1,ITC11
1,201,1,15,001015,Bairo,Nord-ovest,Piemonte,Torino,0,TO,816,ITC,ITC1,ITC11
1,201,1,16,001016,Balangero,Nord-ovest,Piemonte,Torino,0,TO,3.161,ITC,ITC1,ITC11
1,201,1,17,001017,Baldissero Canavese,Nord-ovest,Piemonte,Torino,0,TO,534,ITC,ITC1,ITC11
1,201,1,18,001018,Baldissero Torinese,Nord-ovest,Piemonte,Torino,0,TO,3.783,ITC,ITC1,ITC11
1,201,1,19,001019,Balme,Nord-ovest,Piemonte,Torino,0,TO,95,ITC,ITC1,ITC11
1,201,1,20,001020,Banchette,Nord-ovest,Piemonte,Torino,0,TO,3.280,ITC,ITC1,ITC11
1,201,1,21,001021,Barbania,Nord-ovest,Piemonte,Torino,0,TO,1.623,ITC,ITC1,ITC11
1,201,1,22,001022,Bardonecchia,Nord-ovest,Piemonte,Torino,0,TO,3.212,ITC,ITC1,ITC11
1,201,1,23,001023,Barone Canavese,Nord-ovest,Piemonte,Torino,0,TO,599,ITC,ITC1,ITC11
1,201,1,24,001024,Beinasco,Nord-ovest,Piemonte,Torino,0,TO,18.104,ITC,ITC1,ITC11
1,201,1,25,001025,Bibiana,Nord-ovest,Piemonte,Torino,0,TO,3.376,ITC,ITC1,ITC11
1,201,1,26,001026,Bobbio Pellice,Nord-ovest,Piemonte,Torino,0,TO,566,ITC,ITC1,ITC11
1,201,1,27,001027,Bollengo,Nord-ovest,Piemonte,Torino,0,TO,2.112,ITC,ITC1,ITC11
1,201,1,28,001028,Borgaro Torinese,Nord-ovest,Piemonte,Torino,0,TO,11.723,ITC,ITC1,ITC11
1,201,1,29,001029,Borgiallo,Nord-ovest,Piemonte,Torino,0,TO,550,ITC,ITC1,ITC11
1,201,1,30,001030,Borgofranco d'Ivrea,Nord-ovest,Piemonte,Torino,0,TO,3.643,ITC,ITC1,ITC11
1,201,1,31,001031,Borgomasino,Nord-ovest,Piemonte,Torino,0,TO,835,ITC,ITC1,ITC11
1,201,1,32,001032,Borgone Susa,Nord-ovest,Piemonte,Torino,0,TO,2.320,ITC,ITC1,ITC11
1,201,1,33,001033,Bosconero,Nord-ovest,Piemonte,Torino,0,TO,3.056,ITC,ITC1,ITC11
1,201,1,34,001034,Brandizzo,Nord-ovest,Piemonte,Torino,0,TO,8.402,ITC,ITC1,ITC11
1,201,1,35,001035,Bricherasio,Nord-ovest,Piemonte,Torino,0,TO,4.517,ITC,ITC1,ITC11
1,201,1,36,001036,Brosso,Nord-ovest,Piemonte,Torino,0,TO,460,ITC,ITC1,ITC11
1,201,1,37,001037,Brozolo,Nord-ovest,Piemonte,Torino,0,TO,471,ITC,ITC1,ITC11
1,201,1,38,001038,Bruino,Nord-ovest,Piemonte,Torino,0,TO,8.479,ITC,ITC1,ITC11
1,201,1,39,001039,Brusasco,Nord-ovest,Piemonte,Torino,0,TO,1.726,ITC,ITC1,ITC11
1,201,1,40,001040,Bruzolo,Nord-ovest,Piemonte,Torino,0,TO,1.545,ITC,ITC1,ITC11
1,201,1,41,001041,Buriasco,Nord-ovest,Piemonte,Torino,0,TO,1.405,ITC,ITC1,ITC11
1,201,1,42,001042,Burolo,Nord-ovest,Piemonte,Torino,0,TO,1.228,ITC,ITC1,ITC11
1,201,1,43,001043,Busano,Nord-ovest,Piemonte,Torino,0,TO,1.588,ITC,ITC1,ITC11
1,201,1,44,001044,Bussoleno,Nord-ovest,Piemonte,Torino,0,TO,6.363,ITC,ITC1,ITC11
1,201,1,45,001045,Buttigliera Alta,Nord-ovest,Piemonte,Torino,0,TO,6.386,ITC,ITC1,ITC11
1,201,1,46,001046,Cafasse,Nord-ovest,Piemonte,Torino,0,TO,3.511,ITC,ITC1,ITC11
1,201,1,47,001047,Caluso,Nord-ovest,Piemonte,Torino,0,TO,7.483,ITC,ITC1,ITC11
1,201,1,48,001048,Cambiano,Nord-ovest,Piemonte,Torino,0,TO,6.215,ITC,ITC1,ITC11
1,201,1,49,001049,Campiglione Fenile,Nord-ovest,Piemonte,Torino,0,TO,1.382,ITC,ITC1,ITC11
1,201,1,50,001050,Candia Canavese,Nord-ovest,Piemonte,Torino,0,TO,1.286,ITC,ITC1,ITC11
1,201,1,51,001051,Candiolo,Nord-ovest,Piemonte,Torino,0,TO,5.566,ITC,ITC1,ITC11
1,201,1,52,001052,Canischio,Nord-ovest,Piemonte,Torino,0,TO,294,ITC,ITC1,ITC11
1,201,1,53,001053,Cantalupa,Nord-ovest,Piemonte,Torino,0,TO,2.527,ITC,ITC1,ITC11
1,201,1,54,001054,Cantoira,Nord-ovest,Piemonte,Torino,0,TO,554,ITC,ITC1,ITC11
1,201,1,55,001055,Caprie,Nord-ovest,Piemonte,Torino,0,TO,2.116,ITC,ITC1,ITC11
1,201,1,56,001056,Caravino,Nord-ovest,Piemonte,Torino,0,TO,995,ITC,ITC1,ITC11
1,201,1,57,001057,Carema,Nord-ovest,Piemonte,Torino,0,TO,772,ITC,ITC1,ITC11
1,201,1,58,001058,Carignano,Nord-ovest,Piemonte,Torino,0,TO,9.156,ITC,ITC1,ITC11
1,201,1,59,001059,Carmagnola,Nord-ovest,Piemonte,Torino,0,TO,28.563,ITC,ITC1,ITC11
